condition,replication,topic,conflict_type,word_count,num_turns,negative_words,positive_words,conflict_phrases,resolution_phrases,negativity_pct,positivity_pct,sentiment_ratio,sarah_negativity,david_negativity
destructive_overheard,60,finances,destructive,5986,40,141.0,29.0,14.0,3.0,2.2830310880829017,0.469559585492228,-0.6588235294117647,2.3503603885929176,2.21105527638191
destructive_overheard,60,cleaning responsibilities,destructive,8443,40,236.0,35.0,16.0,3.0,2.669079393802307,0.39583804569102016,-0.7416974169741697,2.5166096235152002,2.8645161290322583
destructive_overheard,60,childcare responsibilities,destructive,14695,40,419.0,222.0,16.0,3.0,2.7021798013672127,1.4317038565716498,-0.3073322932917317,1.9329896907216495,2.894694404128366
destructive_overheard,60,parenting,destructive,8913,38,159.0,91.0,17.0,4.0,1.676684593483075,0.9596119371506907,-0.272,1.5139281388776746,1.8547140649149922
destructive_witnessed,60,parenting,destructive,6935,32,156.0,55.0,16.0,3.0,2.127659574468085,0.7501363884342608,-0.4786729857819905,1.8327310273618997,2.4580682475419318
destructive_witnessed,60,intimacy,destructive,3284,34,72.0,42.0,13.0,1.0,2.0654044750430294,1.2048192771084338,-0.2631578947368421,2.069385270846013,2.0618556701030926
destructive_witnessed,60,family time,destructive,3569,36,72.0,21.0,15.0,2.0,1.9154030327214684,0.5586592178770949,-0.5483870967741935,2.014098690835851,1.804850535815003
destructive_witnessed,60,communication,destructive,4157,30,85.0,25.0,13.0,4.0,1.9348964261324837,0.5690871841566127,-0.5454545454545454,2.320075757575758,1.578255151249452
destructive_witnessed,60,discipline strategies,destructive,6059,36,148.0,43.0,16.0,3.0,2.313946216385241,0.6722951844903065,-0.5497382198952879,2.476133651551313,2.135348226018397
destructive_witnessed,60,family time,destructive,4238,30,76.0,37.0,14.0,2.0,1.7009847806624887,0.828111011638317,-0.34513274336283184,1.3622603430877902,1.9710378117457763
destructive_witnessed,60,grocery shopping,destructive,4286,38,115.0,31.0,15.0,3.0,2.5802109041956474,0.6955351133049136,-0.5753424657534246,2.488262910798122,2.6643747314138375
